aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe
0.08,0.06,0.01,1.39,0.08,0.32,0.0,1.15,0.53,0.66,0.66,0.088,8.69,1.86,0.001,0.04,3.44,0.0,0.06,0.02,0
0.06,29.11,0.09,1.56,0.08,0.1,0.08,1.19,0.38,0.84,0.84,0.064,7.23,1.0,0.005,2.84,2.4,0.07,0.04,0.06,0
0.1,23.9,0.02,2.77,0.003,1.07,0.54,1.35,1.03,0.04,0.007,0.067,13.92,1.31,0.0,12.23,2.42,0.05,0.23,0.0,0
4.46,28.08,0.02,3.93,0.004,5.1,0.38,0.52,0.22,0.69,0.69,0.064,12.59,1.37,0.004,47.56,6.63,0.03,0.14,0.07,0
4.41,26.35,0.95,4.14,0.02,8.01,0.55,1.62,1.48,0.99,0.99,0.162,1.81,1.41,0.003,23.1,7.87,0.02,0.31,0.04,0
0.03,7.54,0.04,1.5,0.02,0.06,0.09,1.28,0.32,0.53,0.53,0.175,0.8,1.09,0.007,0.29,2.43,0.01,0.06,0.02,0
2.17,23.48,0.56,1.48,0.04,4.44,0.82,1.57,0.43,0.0,0.0,0.089,15.44,1.98,0.005,29.61,5.11,0.03,0.2,0.03,0
0.07,22.04,0.05,3.98,0.003,4.27,0.38,0.16,0.12,0.63,0.63,0.026,4.85,1.85,0.007,16.62,7.46,0.07,0.3,0.0,0
0.02,15.22,0.04,1.01,0.05,0.03,0.04,0.47,1.02,0.4,0.0,0.02,19.07,1.88,0.007,10.53,0.05,0.07,0.01,0.08,0
0.21,1.97,0.59,3.15,0.01,1.88,0.32,0.94,0.26,0.28,0.009,0.023,10.87,1.48,0.003,50.99,4.23,0.06,0.03,0.04,0
0.02,10.7,0.74,1.21,0.09,6.14,0.7,0.98,0.79,0.72,0.72,0.115,1.72,1.27,0.002,38.55,3.03,0.05,0.29,0.07,0
0.09,26.3,0.01,0.39,0.008,0.95,0.53,0.53,0.88,0.93,0.93,0.076,14.87,1.05,0.009,25.8,6.6,0.05,0.34,0.05,0
